"id"#"name"#"price"
12#"43"" Телевизор HAIER Smart TV S1, 4K Ultra HD, черный, СМАРТ ТВ, Android"#28890
13#"32"" Телевизор SunWind SUN-LED32XB200, HD, черный"#10290
14#"43"" Телевизор Samsung UE43CU7100UXRU, Crystal UHD, 4K Ultra HD, черный, СМАРТ ТВ, Tizen OS"#37790
15#"50"" Телевизор Xiaomi Mi TV A2, 4K Ultra HD, черный, СМАРТ ТВ, Android"#34990
16#"32"" Телевизор Hyundai H-LED32BS5003, HD, черный, СМАРТ ТВ, Яндекс.ТВ"#14490
17#Холодильник двухкамерный Beko RCNK335E20VW Total No Frost, белый#38990
18#Холодильник двухкамерный Indesit ITR 4180 W Total No Frost, белый#29990
19#Холодильник двухкамерный SunWind SCC353 белый#26990
20#Холодильник однокамерный Бирюса Б-50 белый#8600
21#Холодильник двухкамерный Hisense RB222D4AW1 белый#27330
22#Сотовый телефон Digma Linx S220, красный#1990
23#Сотовый телефон Philips Xenium E590, черный#5590
24#Сотовый телефон SunWind CITI C2401, черный#890
25#Сотовый телефон BQ Tank SE 2432, камуфляж#2590
26#Сотовый телефон Nokia 110 (TA-1567) DS EAC, синий#2890
